state,scenario,factor,low_level,high_level,low_mean_impact_avg_full_pct,high_mean_impact_avg_full_pct,effect_pct_points
VT,s_o2,social_rate,0.01,0.05,-16.6250801436649,-8.974600311141291,7.650479832523608
VT,s_o2,spc,1.05,1.2,-13.686729837008262,-11.912950617797925,1.7737792192103363
VT,s_o2,damage_scenario,low,high,-11.761060671116109,-13.83861978369008,-2.0775591125739705
WA,s_c2,social_rate,0.01,0.05,-16.214977650470953,-13.801790741711462,2.4131869087594904
WA,s_c2,spc,1.05,1.2,-15.283487676962787,-14.733280715219628,0.5502069617431591
WA,s_c2,damage_scenario,low,high,-15.741091300003287,-14.275677092179127,1.4654142078241605
WA,s_o2,social_rate,0.01,0.05,-17.266108666106295,-9.640512795710375,7.6255958703959195
WA,s_o2,spc,1.05,1.2,-14.340200340513494,-12.566421121303174,1.7737792192103203
WA,s_o2,damage_scenario,low,high,-13.04007893876315,-13.866542523053518,-0.8264635842903676
WI,s_c2,social_rate,0.01,0.05,-7.309783030488179,-4.907976888032559,2.4018061424556194
WI,s_c2,spc,1.05,1.2,-6.383983440131948,-5.833776478388788,0.55020696174316
WI,s_c2,damage_scenario,low,high,-7.569934697423198,-4.64782522109754,2.922109476325658
WI,s_o2,social_rate,0.01,0.05,-11.955722875702651,-4.337419802932444,7.618303072770208
WI,s_o2,spc,1.05,1.2,-9.033460948922713,-7.259681729712383,1.77377921921033
WI,s_o2,damage_scenario,low,high,-8.18161427451849,-8.111528404116605,0.07008587040188452
WV,s_c2,social_rate,0.01,0.05,-18.967805070576503,-16.566289078927916,2.401515991648587
